"State_Name","Constituency_No","Year","Party","Votes","Electors","Constituency_Name","BJP_vote_share"
"jammukashmir",4,2014,"BJP",31111,166763,"LADAKH",18.6558169378099
"jammukashmir",5,2014,"BJP",487369,1469072,"UDHAMPUR",33.175297058279
"jammukashmir",6,2014,"BJP",619995,1848155,"JAMMU",33.5466992757642
"jharkhand",1,2014,"BJP",338170,1353467,"RAJMAHAL",24.9854632584319
"jharkhand",2,2014,"BJP",296785,1273049,"DUMKA",23.3129282533508
"jharkhand",3,2014,"BJP",380500,1590772,"GODDA",23.9192040091226
"jharkhand",4,2014,"BJP",295862,1312562,"CHATRA",22.5408018821206
"jharkhand",5,2014,"BJP",365410,1639645,"KODARMA",22.2859216476737
"jharkhand",6,2014,"BJP",391913,1511644,"GIRIDIH",25.9262762925662
"jharkhand",7,2014,"BJP",543491,1890021,"DHANBAD",28.755818057048
"jharkhand",8,2014,"BJP",448729,1648459,"RANCHI",27.2211198458682
"jharkhand",9,2014,"BJP",464153,1581665,"JAMSHEDPUR",29.3458475720206
"jharkhand",10,2014,"BJP",303131,1152632,"SINGHBHUM",26.2990269227299
"jharkhand",11,2014,"BJP",269185,1111856,"KHUNTI",24.2104193348779
"jharkhand",12,2014,"BJP",226666,1119144,"LOHARDAGA",20.2535151866069
"jharkhand",13,2014,"BJP",476513,1645957,"PALAMAU",28.9505132880142
"jharkhand",14,2014,"BJP",406931,1518923,"HAZARIBAGH",26.7907589785657
"karnataka",1,2014,"BJP",471370,1442206,"CHIKKODI",32.6839577702492
"karnataka",2,2014,"BJP",554417,1580895,"BELGAUM",35.0698180461068
"karnataka",3,2014,"BJP",571548,1568633,"BAGALKOT",36.4360561074515
"karnataka",4,2014,"BJP",471757,1622635,"BIJAPUR",29.0735131437446
"karnataka",5,2014,"BJP",432460,1721990,"GULBARGA",25.1139669800638
"karnataka",6,2014,"BJP",442160,1661606,"RAICHUR",26.6103998180074
"karnataka",7,2014,"BJP",459290,1600962,"BIDAR",28.6883761138615
"karnataka",8,2014,"BJP",486383,1535105,"KOPPAL",31.6840216141567
"karnataka",9,2014,"BJP",534406,1487945,"BELLARY",35.9157092500059
"karnataka",10,2014,"BJP",566790,1558749,"HAVERI",36.3618517157028
"karnataka",11,2014,"BJP",545395,1578125,"DHARWAD",34.5596831683168
"karnataka",12,2014,"BJP",546939,1450599,"UTTARA KANNADA",37.70435523532
"karnataka",13,2014,"BJP",518894,1522712,"DAVANAGERE",34.076962682372
"karnataka",14,2014,"BJP",606216,1562243,"SHIMOGA",38.8042065158877
"karnataka",15,2014,"BJP",581168,1387294,"UDUPI CHIKMAGALUR",41.8922016530022
"karnataka",16,2014,"BJP",165688,1561486,"HASSAN",10.6109180613851
"karnataka",17,2014,"BJP",642739,1565219,"DAKSHINA KANNADA",41.063838351055
"karnataka",18,2014,"BJP",366220,1661277,"CHITRADURGA",22.0444874635597
"karnataka",19,2014,"BJP",355827,1518518,"TUMKUR",23.4325177574451
"karnataka",20,2014,"BJP",86993,1669262,"MANDYA",5.21146470715801
"karnataka",21,2014,"BJP",503908,1723134,"MYSORE",29.2436920169876
"karnataka",22,2014,"BJP",426600,1555781,"CHAMARAJANAGAR",27.4203117276789
"karnataka",23,2014,"BJP",421243,2190398,"BANGALORE RURAL",19.2313451710602
"karnataka",24,2014,"BJP",718326,2401472,"BANGALORE NORTH",29.9119040321936
"karnataka",25,2014,"BJP",557130,1931456,"BANGALORE CENTRAL",28.8450785314291
"karnataka",26,2014,"BJP",633816,1998724,"BANGALORE SOUTH",31.7110316381852
"karnataka",27,2014,"BJP",415280,1658410,"CHIKKBALLAPUR",25.0408523827039
"karnataka",28,2014,"BJP",267322,1492977,"KOLAR",17.9052992778857
"kerala",1,2014,"BJP",172826,1243730,"KASARAGOD",13.8957812386933
"kerala",2,2014,"BJP",51636,1170266,"KANNUR",4.41233018817944
"kerala",3,2014,"BJP",76313,1182504,"VADAKARA",6.45350882534013
"kerala",4,2014,"BJP",80752,1249420,"WAYANAD",6.46315890573226
"kerala",5,2014,"BJP",115760,1182484,"KOZHIKODE",9.7895616346606
"kerala",6,2014,"BJP",64705,1198444,"MALAPPURAM",5.39908414577569
"kerala",7,2014,"BJP",75212,1180789,"PONNANI",6.36963928356379
"kerala",8,2014,"BJP",136587,1208726,"PALAKKAD",11.3000795879298
"kerala",9,2014,"BJP",87803,1216351,"ALATHUR",7.21855780116101
"kerala",10,2014,"BJP",102681,1275288,"THRISSUR",8.05159305192239
"kerala",11,2014,"BJP",92848,1150497,"CHALAKUDY",8.07025137831737
"kerala",12,2014,"BJP",99003,1156492,"ERNAKULAM",8.56062990491936
"kerala",13,2014,"BJP",50438,1158735,"IDUKKI",4.35285030658434
"kerala",16,2014,"BJP",79743,1252668,"MAVELIKKARA",6.36585272394601
"kerala",17,2014,"BJP",138954,1323906,"PATHANAMTHITTA",10.4957602730103
"kerala",18,2014,"BJP",58671,1219415,"KOLLAM",4.81140546901588
"kerala",19,2014,"BJP",90528,1251398,"ATTINGAL",7.23414932739224
"kerala",20,2014,"BJP",282336,1272748,"THIRUVANANTHAPURAM",22.1831815881856
"lakshadweep",1,2014,"BJP",187,49922,"LAKSHADWEEP",0.374584351588478
"madhyapradesh",1,2014,"BJP",375567,1702457,"MORENA",22.0602928590854
"madhyapradesh",2,2014,"BJP",404474,1600137,"BHIND",25.2774606174346
"madhyapradesh",3,2014,"BJP",442796,1876965,"GWALIOR",23.5910632323991
"madhyapradesh",4,2014,"BJP",396244,1605613,"GUNA",24.6786741263306
"madhyapradesh",5,2014,"BJP",482580,1520322,"SAGAR",31.7419599269102
"madhyapradesh",6,2014,"BJP",422979,1528863,"TIKAMGARH",27.6662460926846
"madhyapradesh",7,2014,"BJP",513079,1651614,"DAMOH",31.0653094488179
"madhyapradesh",8,2014,"BJP",474966,1702833,"KHAJURAHO",27.8926941162169
"madhyapradesh",9,2014,"BJP",375288,1458381,"SATNA",25.7331931779144
"madhyapradesh",10,2014,"BJP",383320,1544719,"REWA",24.8148692415902
"madhyapradesh",11,2014,"BJP",475678,1736048,"SIDHI",27.4000488465757
"madhyapradesh",12,2014,"BJP",525419,1561016,"SHAHDOL",33.65878376647
"madhyapradesh",13,2014,"BJP",564609,1711621,"JABALPUR",32.9868002320607
"madhyapradesh",14,2014,"BJP",585720,1824702,"MANDLA",32.09948802599
"madhyapradesh",15,2014,"BJP",480594,1629741,"BALAGHAT",29.4889801508338
"madhyapradesh",16,2014,"BJP",443218,1402038,"CHHINDWARA",31.6124099346808
"madhyapradesh",17,2014,"BJP",669128,1568206,"HOSHANGABAD",42.6683739253644
"madhyapradesh",18,2014,"BJP",714348,1634039,"VIDISHA",43.716704436063
"madhyapradesh",19,2014,"BJP",714178,1957241,"BHOPAL",36.4890169376178
"madhyapradesh",20,2014,"BJP",596727,1578757,"RAJGARH",37.7972670905022
"madhyapradesh",21,2014,"BJP",665646,1617111,"DEWAS",41.1626660136503
"madhyapradesh",22,2014,"BJP",641101,1525481,"UJJAIN",42.0261543736041
"madhyapradesh",23,2014,"BJP",698335,1626556,"MANDSOUR",42.9333512034015
"madhyapradesh",24,2014,"BJP",545980,1702576,"RATLAM",32.0678783208503
"madhyapradesh",25,2014,"BJP",558387,1668441,"DHAR",33.4675904032567
